policy,profile,episodes,completed_episodes,failed_episodes,unsafe_crossing_count,unsafe_crossing_denominator,unsafe_crossing_rate,unsafe_crossing_wilson_ci95_low,unsafe_crossing_wilson_ci95_high,safe_success_count,safe_success_denominator,safe_success_rate,safe_success_wilson_ci95_low,safe_success_wilson_ci95_high,wrong_detour_count,wrong_detour_denominator,wrong_detour_rate,wrong_detour_wilson_ci95_low,wrong_detour_wilson_ci95_high,contract_repair_success_count,contract_repair_success_denominator,contract_repair_success_rate,contract_repair_success_wilson_ci95_low,contract_repair_success_wilson_ci95_high,plan_invalidation_correct_count,plan_invalidation_correct_denominator,plan_invalidation_correct_rate,plan_invalidation_correct_wilson_ci95_low,plan_invalidation_correct_wilson_ci95_high,echo_rejection_success_count,echo_rejection_success_denominator,echo_rejection_success_rate,echo_rejection_success_wilson_ci95_low,echo_rejection_success_wilson_ci95_high,calibration_samples,brier_score,ece_10_bin,conformal_samples,conformal_covered_count,conformal_coverage,conformal_coverage_wilson_ci95_low,conformal_coverage_wilson_ci95_high,conformal_miscoverage,conformal_miscoverage_wilson_ci95_low,conformal_miscoverage_wilson_ci95_high,avg_observation_count,avg_replan_count,avg_path_length
conformal-only,dynamic-change,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.26762602723006274,0.3989193167153634,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
conformal-only,evidence-echo,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.26136289001087437,0.3615628643179985,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
conformal-only,independent-noise,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.26127897820082746,0.392905063266834,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
conformal-only,ood-severity,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.14023729780989047,0.33267652053500374,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
conformal-only,pose-calibration-drift,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.376784280481677
conformal-only,shared-occlusion,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.25,0.0,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
conformal-only,structured-depth-dropout,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.14240236568027073,0.34283919270833335,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
conformal-only,time-skew,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.2631034873183104,0.3933819289239705,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
lineage-only,dynamic-change,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.28815585933426535,0.29261031413352667,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
lineage-only,evidence-echo,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.2831718384463492,0.25680657315842664,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
